scenario,realization,estimated_top_depth_m,estimated_width_m,estimated_resistivity_ohm_m,estimated_chargeability_v_v,geometry_nrms,resistivity_nrms,chargeability_nrms
gold_sulphide,0,20.0,80.0,600.0,0.05,1.8557665546825497,1.1768190818749575,1.1501784550630998
gold_sulphide,1,20.0,80.0,600.0,0.05,1.9002812423940016,1.2369248757069449,1.146499547484375
gold_sulphide,2,20.0,80.0,600.0,0.05,1.9071304428250409,1.2045386261863626,1.1193251352817024
gold_sulphide,3,20.0,80.0,600.0,0.05,1.8848819448913678,1.1886347079263078,1.2539863499658765
gold_sulphide,4,20.0,80.0,600.0,0.05,1.9237769527998076,1.2248027724702995,1.1448183770123808
gold_sulphide,5,20.0,80.0,600.0,0.05,1.8880932960870278,1.2547035665316024,1.084980625484607
gold_sulphide,6,20.0,80.0,600.0,0.05,1.9510302336400849,1.1954405582002678,1.1252317100577771
gold_sulphide,7,20.0,80.0,600.0,0.05,1.8410157914570724,1.1143825448187974,1.248704554107414
gold_sulphide,8,20.0,80.0,600.0,0.05,1.8923821630330155,1.2076563220058802,1.1716312476215494
gold_sulphide,9,20.0,80.0,600.0,0.05,1.9425968588788542,1.1636612795359678,1.1808203178283307
gold_sulphide,10,20.0,80.0,600.0,0.05,1.9330869758237585,1.216982041925927,1.1168432374731696
gold_sulphide,11,20.0,80.0,600.0,0.05,1.9017178457383253,1.2247565356973984,1.1006032484592458
gold_sulphide,12,20.0,80.0,600.0,0.05,1.8776622284641995,1.2546057108981759,1.0964259657890003
gold_sulphide,13,20.0,80.0,600.0,0.05,1.9316128567175377,1.2253612341551443,1.1341866609495943
gold_sulphide,14,20.0,80.0,600.0,0.05,1.976511334889499,1.204985784175582,1.1568224776923408
gold_sulphide,15,20.0,80.0,600.0,0.05,1.908316778618123,1.1843905248261186,1.09819750709172
gold_sulphide,16,20.0,80.0,600.0,0.05,1.9395144067409873,1.2341056540859627,1.1553466667517849
gold_sulphide,17,20.0,80.0,600.0,0.05,1.960355220440568,1.1981264483654175,1.11502722164377
gold_sulphide,18,20.0,80.0,600.0,0.05,1.88515143815037,1.1712389089162472,1.1927070074321633
gold_sulphide,19,20.0,80.0,600.0,0.05,1.8828638947758836,1.2569789645995704,1.156175525339805
iron_channel,0,15.0,150.0,1500.0,0.018,2.4297234284898375,1.46863128692213,1.3205069619610141
iron_channel,1,15.0,150.0,1500.0,0.018,2.4849645196664603,1.5115048614067872,1.324137235935137
iron_channel,2,15.0,150.0,1500.0,0.018,2.4886366342491946,1.5678929202060423,1.3514267250618877
iron_channel,3,15.0,150.0,1500.0,0.018,2.4511943376367835,1.508425866864208,1.3093840349510406
iron_channel,4,15.0,150.0,1500.0,0.018,2.4721443855217933,1.5127938509190793,1.2757922892952556
iron_channel,5,15.0,150.0,1500.0,0.018,2.367217569497741,1.434095564693409,1.283592672363682
iron_channel,6,15.0,150.0,1500.0,0.018,2.387738147307387,1.4734289500257907,1.2460346883941948
iron_channel,7,15.0,150.0,1500.0,0.018,2.408093065166494,1.4421220510854578,1.2922239362801633
iron_channel,8,15.0,150.0,1500.0,0.018,2.4249214728934554,1.5560557768203913,1.2510033864270054
iron_channel,9,15.0,150.0,1500.0,0.018,2.4205020352036057,1.5070758547595164,1.284299744756306
iron_channel,10,15.0,150.0,1500.0,0.018,2.5058240876724374,1.515725243410363,1.3933501884325465
iron_channel,11,15.0,150.0,1500.0,0.018,2.368044580518585,1.4236240392369235,1.3029899263901554
iron_channel,12,15.0,150.0,1500.0,0.018,2.4391888473462258,1.4287130445282432,1.3225943255813393
iron_channel,13,15.0,150.0,1500.0,0.018,2.419710457330814,1.469434919340656,1.258338429740467
iron_channel,14,15.0,150.0,1500.0,0.018,2.3994097637982827,1.5177372759443173,1.255378847182895
iron_channel,15,15.0,150.0,1500.0,0.018,2.475115364575741,1.423554690619375,1.3809164785027421
iron_channel,16,15.0,150.0,1500.0,0.018,2.4386728284566637,1.511924075805893,1.310036444831947
iron_channel,17,15.0,150.0,1500.0,0.018,2.382390617089521,1.4798806018757904,1.20935064129009
iron_channel,18,15.0,150.0,1500.0,0.018,2.452899401613161,1.5119427993860362,1.3228687685598566
iron_channel,19,15.0,150.0,1500.0,0.018,2.470777632513456,1.6506114515076236,1.3043048099564167
