realization,estimated_top_depth_m,estimated_thickness_m,estimated_resistivity_ohm_m,estimated_water_saturation,hydrocarbon_saturation,nrms
0,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.879870275154392
1,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9841061347014364
2,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.8670723355134733
3,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.98839737516898
4,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.931696407404688
5,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.905065595609424
6,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.8716803089663605
7,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9531633369989723
8,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9925364049556826
9,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.965891258762157
10,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,3.0138643043491626
11,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,3.001348800487131
12,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.8839339162135627
13,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,3.0247110319142343
14,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9594055485559037
15,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9069298981092215
16,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9941438483020772
17,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.9334625600651734
18,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.873526171496441
19,4900.0,32.0,3.5,0.34254563481627703,0.657454365183723,2.8497150193900684
