parameter,value,dc_relative_rms_percent,ip_relative_rms_percent
laterite_thickness,2.5,3.83708,13.1827
laterite_thickness,5,0,0
laterite_thickness,7.5,6.14849,9.78668
laterite_resistivity,2100,2.60414,7.80648
laterite_resistivity,3000,0,0
laterite_resistivity,4200,1.94843,5.76564
target_top,10,2.36029,81.4347
target_top,15,0,0
target_top,20,1.97682,49.8379
target_top,25,3.69487,75.0078
target_top,30,9.87145,95.9965
target_width,50,6.95899,35.3515
target_width,75,0,0
target_width,100,6.7241,36.1444
target_width,150,18.1423,91.5505
